Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
C,B,C,C,C,A,A,I am interested in Software Engineering,Software Engineering
C,A,A,B,A,A,A,coding and building apps,Software Engineering
C,C,C,C,C,B,C,Software Engineering,Software Engineering
D,C,D,D,F,A,A,I enjoy javascript and System Design,Software Engineering
A,C,C,C,C,A,B,programming and apps,Software Engineering
B,A,B,B,C,A,D,How can I study Software Engineering?,Software Engineering
C,B,A,C,C,B,C,coding mobile development software engineering,Software Engineering
B,B,C,B,D,B,A,I am interested in Software Engineering,Software Engineering
D,C,A,C,C,B,D,I am interested in Software Engineering,Software Engineering
B,B,A,C,A,A,A,I'm passionate about technology,Software Engineering
B,A,A,B,A,A,B,I am interested in Software Engineering,Software Engineering
E,C,E,D,D,A,A,I want to work with software development,Software Engineering
B,B,C,D,C,A,D,"Learning more about Professional study of building software systems, application...",Software Engineering
D,A,B,C,A,A,A,I enjoy software development and Algorithms,Software Engineering
C,C,C,B,F,C,E,I am interested in Software Engineering,Software Engineering
A,A,A,C,C,B,B,programming and apps,Software Engineering
B,B,B,A,A,A,E,I love technology,Software Engineering
F,B,E,C,D,B,B,Software Engineering seems like a good fit for me,Software Engineering
B,C,E,C,C,D,F,I enjoy logic and Version Control,Software Engineering
B,A,A,B,B,A,D,code programming math,Software Engineering
B,C,C,A,F,B,B,App Developer career path,Software Engineering
A,B,A,A,B,B,C,Interested in Software Engineering and mobile development,Software Engineering
A,B,B,C,A,A,C,I want to apply my Version Control skills in the field of Software Engineering,Software Engineering
B,B,A,C,B,A,B,I want to improve my skills in System Design,Software Engineering
C,C,F,D,F,B,B,"Good at Programming, want to be a App Developer",Software Engineering
A,A,A,C,A,A,A,Software Engineering seems like a good fit for me,Software Engineering
C,B,F,B,B,B,C,programming and apps,Software Engineering
D,A,D,A,B,A,B,I want to work with critical thinking,Software Engineering
B,A,B,A,A,A,B,I want to improve my skills in Version Control,Software Engineering
B,B,B,A,D,A,D,Helping with Programming in Software Engineering,Software Engineering
B,C,B,D,B,A,C,I am interested in Software Engineering,Software Engineering
B,A,A,B,A,A,C,Focusing on System Design and Mathematics,Software Engineering
B,A,A,A,C,A,C,I enjoy algorithm and Algorithms,Software Engineering
C,B,C,A,C,A,A,I want to apply my Version Control skills in the field of Software Engineering,Software Engineering
D,B,A,B,A,A,B,javascript frontend technology,Software Engineering
B,B,A,B,A,A,C,My goal is to become a System Architect,Software Engineering
A,B,B,C,B,A,C,I'm passionate about algorithm,Software Engineering
B,C,D,B,C,B,C,Software Engineering seems like a good fit for me,Software Engineering
A,A,A,C,B,A,D,Software Engineering seems like a good fit for me,Software Engineering
B,A,A,B,A,A,B,I want to work with mathematics,Software Engineering
D,B,B,D,A,A,C,"software engineering, web development",Software Engineering
C,A,A,C,B,A,B,"Good at Programming, want to be a Full Stack Developer",Software Engineering
C,C,F,B,B,B,C,javascript and python developer,Software Engineering
C,A,B,B,A,A,D,I love software development,Software Engineering
B,C,C,C,C,A,C,How can I study Software Engineering?,Software Engineering
B,B,C,C,D,A,B,Is Software Engineering a good major?,Software Engineering
C,C,C,B,D,A,C,I am looking for a career in Software Engineer,Software Engineering
C,C,E,B,E,C,B,I love software engineering,Software Engineering
B,C,A,A,A,A,B,coding and building apps,Software Engineering
C,A,A,C,B,A,B,I enjoy technology and Version Control,Software Engineering
B,A,A,A,A,A,B,I love build apps,Software Engineering
C,C,A,C,A,A,D,I want to work with python,Software Engineering
A,C,B,C,D,B,B,python logic algorithm,Software Engineering
C,B,D,C,C,A,C,coding mathematics logic,Software Engineering
E,C,C,D,F,A,D,Software Engineering seems like a good fit for me,Software Engineering
B,B,D,D,B,B,E,I'm passionate about code,Software Engineering
B,C,C,B,B,A,F,javascript and python developer,Software Engineering
D,A,A,A,B,A,A,Full Stack Developer career path,Software Engineering
C,B,B,B,B,A,B,I am looking for a career in System Architect,Software Engineering
A,A,B,B,C,B,A,I want to work with software development,Software Engineering
A,B,B,C,B,A,C,Is Software Engineering a good major?,Software Engineering
C,B,C,C,A,A,B,coding and building apps,Software Engineering
A,B,A,A,A,B,A,tech and software,Software Engineering
B,B,D,D,B,B,E,programming and apps,Software Engineering
E,B,A,C,B,A,C,Focusing on Algorithms and Programming,Software Engineering
A,B,A,B,B,A,F,coding and building apps,Software Engineering
B,B,E,B,E,C,F,I want to improve my skills in Algorithms,Software Engineering
B,B,B,B,B,A,B,I am looking for a career in Software Engineer,Software Engineering
C,A,A,A,A,A,A,My goal is to become a Software Engineer,Software Engineering
C,B,A,A,B,A,A,I want to work with build apps,Software Engineering
B,A,C,B,B,A,C,I want to study Software Engineering,Software Engineering
B,A,A,C,A,A,A,How can I study Software Engineering?,Software Engineering
C,C,C,C,C,B,C,"Good at Mathematics, want to be a Full Stack Developer",Software Engineering
B,C,C,E,D,A,E,I am looking for a career in Frontend Developer,Software Engineering
C,A,C,B,C,A,B,Focusing on Problem Solving and Version Control,Software Engineering
B,B,A,C,B,A,B,My goal is to become a Backend Developer,Software Engineering
E,B,F,E,C,A,A,Focusing on Algorithms and Mathematics,Software Engineering
F,A,A,D,B,A,F,Software Engineering seems like a good fit for me,Software Engineering
A,C,C,B,E,B,E,I want to apply my Algorithms skills in the field of Software Engineering,Software Engineering
C,A,C,C,B,A,B,I want to study Software Engineering,Software Engineering
B,C,C,C,C,A,F,Study Software Engineering,Software Engineering
B,B,E,B,E,C,F,Researching Software Engineering opportunities,Software Engineering
B,C,C,D,B,A,F,I am interested in Software Engineering,Software Engineering
A,C,D,D,E,A,B,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
C,A,B,A,A,A,C,I'm passionate about coding,Software Engineering
C,B,B,C,C,A,C,javascript and python developer,Software Engineering
B,C,A,C,B,A,B,Focusing on Programming and Algorithms,Software Engineering
D,A,A,B,A,A,B,"Good at Programming, want to be a Backend Developer",Software Engineering
B,C,A,A,E,A,D,programming and apps,Software Engineering
C,B,B,B,B,A,D,I enjoy backend and System Design,Software Engineering
B,B,C,B,D,B,A,I enjoy coding and Programming,Software Engineering
D,C,D,C,F,A,F,My goal is to become a Full Stack Developer,Software Engineering
C,A,A,C,B,A,B,Software Engineering seems like a good fit for me,Software Engineering
A,A,A,B,A,A,C,I want to study Software Engineering,Software Engineering
B,B,C,C,B,A,B,I love software developer,Software Engineering
B,A,A,A,A,A,B,"Good at Algorithms, want to be a Full Stack Developer",Software Engineering
A,A,A,A,A,A,A,I want to work with backend,Software Engineering
B,B,F,D,C,A,D,My goal is to become a Backend Developer,Software Engineering
E,C,D,F,B,B,B,"Good at Problem Solving, want to be a Backend Developer",Software Engineering
A,B,A,A,B,B,C,My goal is to become a Frontend Developer,Software Engineering
B,C,E,C,B,A,D,Software Engineering seems like a good fit for me,Software Engineering
C,C,E,E,B,B,D,I enjoy mobile development and Version Control,Software Engineering
D,A,D,E,C,A,E,"javascript, mobile development",Software Engineering
B,C,A,C,D,B,B,I'm passionate about frontend,Software Engineering
B,C,C,B,D,A,D,Researching Software Engineering opportunities,Software Engineering
C,C,F,B,B,B,C,computer science apps python,Software Engineering
B,B,C,B,C,A,D,coding and building apps,Software Engineering
E,B,F,E,C,A,A,tech and software,Software Engineering
B,B,A,B,B,A,E,How can I study Software Engineering?,Software Engineering
C,A,B,A,A,A,C,Is Software Engineering a good major?,Software Engineering
E,C,C,B,B,A,E,Researching Software Engineering opportunities,Software Engineering
B,C,C,E,D,A,E,python logic code,Software Engineering
C,C,F,E,D,A,B,I want to apply my Version Control skills in the field of Software Engineering,Software Engineering
B,B,A,C,B,A,B,Software Engineering,Software Engineering
B,C,B,B,C,A,D,Is Software Engineering a good major?,Software Engineering
C,B,A,C,A,A,A,I want to apply my Programming skills in the field of Software Engineering,Software Engineering
B,B,C,D,D,A,B,Researching Software Engineering opportunities,Software Engineering
B,B,C,A,B,A,B,I'm passionate about tech,Software Engineering
B,C,F,A,C,B,E,tech and software,Software Engineering
D,C,A,C,E,A,D,coding and building apps,Software Engineering
B,A,C,A,A,A,B,My goal is to become a Full Stack Developer,Software Engineering
C,B,C,B,A,A,B,Software Engineering,Software Engineering
B,C,D,B,C,B,C,Frontend Developer career path,Software Engineering
B,C,A,B,C,A,D,I love coding,Software Engineering
B,B,B,C,A,A,C,Focusing on Problem Solving and Mathematics,Software Engineering
B,C,B,B,D,A,E,Researching Software Engineering opportunities,Software Engineering
D,C,F,A,C,B,B,I want to apply my Problem Solving skills in the field of Software Engineering,Software Engineering
B,B,A,A,D,A,B,Is Software Engineering a good major?,Software Engineering
B,B,E,B,E,C,F,tech and software,Software Engineering
D,A,A,B,B,A,A,javascript and python developer,Software Engineering
C,C,E,C,B,B,F,My goal is to become a Full Stack Developer,Software Engineering
A,B,C,A,B,A,B,Software Engineering,Software Engineering
C,B,A,C,B,A,B,I am interested in Software Engineering,Software Engineering
A,A,A,A,B,A,A,Software Engineering seems like a good fit for me,Software Engineering
A,C,B,B,A,B,D,programming and apps,Software Engineering
B,C,D,B,C,C,B,javascript and python developer,Software Engineering
C,A,C,C,B,A,B,Focusing on Programming and System Design,Software Engineering
B,C,B,D,C,B,F,I am interested in Software Engineering,Software Engineering
B,C,A,C,B,A,C,Interested in Software Engineering and logic,Software Engineering
B,C,B,B,C,B,F,"Good at Algorithms, want to be a Software Engineer",Software Engineering
A,A,C,C,C,A,C,javascript and python developer,Software Engineering
C,C,E,C,B,B,F,I'm passionate about backend,Software Engineering
B,B,B,B,A,A,B,Is Software Engineering a good major?,Software Engineering
B,C,E,C,B,A,D,Software Engineering seems like a good fit for me,Software Engineering
C,B,D,C,C,A,C,Software Engineering seems like a good fit for me,Software Engineering
A,A,C,D,C,B,B,How can I study Software Engineering?,Software Engineering
C,C,F,B,A,A,B,Software Engineering seems like a good fit for me,Software Engineering
B,C,A,F,B,A,A,How can I study Software Engineering?,Software Engineering
B,C,C,B,B,A,F,I want to work with mobile development,Software Engineering
C,B,B,C,C,A,B,I love backend,Software Engineering
C,B,C,B,B,A,D,How can I study Software Engineering?,Software Engineering
B,C,F,A,B,A,F,How can I study Software Engineering?,Software Engineering
C,C,B,B,A,A,A,javascript and python developer,Software Engineering
A,C,A,E,D,A,C,How can I study Software Engineering?,Software Engineering
C,B,A,A,B,A,C,I want to work with web development,Software Engineering
A,B,F,B,C,A,B,programming and apps,Software Engineering
C,B,C,B,B,A,D,Focusing on System Design and Programming,Software Engineering
C,B,A,C,B,A,A,Is Software Engineering a good major?,Software Engineering
B,B,C,C,D,A,B,I love coding,Software Engineering
C,B,B,C,B,A,B,I enjoy python and Programming,Software Engineering
C,B,B,B,C,A,A,How can I study Software Engineering?,Software Engineering
B,B,A,B,A,A,C,How can I study Software Engineering?,Software Engineering
B,A,C,A,A,A,B,I want to study Software Engineering,Software Engineering
C,B,A,A,D,A,D,I am interested in Software Engineering,Software Engineering
B,A,B,B,A,A,B,Software Engineering,Software Engineering
D,B,A,B,B,A,F,programming and apps,Software Engineering
B,A,A,C,C,A,B,Software Engineering seems like a good fit for me,Software Engineering
B,C,A,C,B,A,C,"Learning more about Professional study of building software systems, application...",Software Engineering
D,C,E,D,D,A,E,My goal is to become a Full Stack Developer,Software Engineering
B,A,A,A,A,A,C,I want to apply my Programming skills in the field of Software Engineering,Software Engineering
C,B,A,C,E,A,C,I want to work with javascript,Software Engineering
B,C,D,D,C,A,D,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
C,B,A,C,B,A,A,Researching Software Engineering opportunities,Software Engineering
B,B,B,B,B,A,B,I enjoy computer science and Mathematics,Software Engineering
B,C,B,C,A,A,F,Helping with Problem Solving in Software Engineering,Software Engineering
B,A,A,A,A,A,D,I want to work with tech,Software Engineering
D,A,C,D,C,A,B,web development logic software developer,Software Engineering
A,B,B,C,B,A,A,"software developer, build apps",Software Engineering
B,B,B,B,D,A,E,I enjoy mathematics and Version Control,Software Engineering
C,C,C,E,B,A,B,Researching Software Engineering opportunities,Software Engineering
B,C,C,B,B,A,F,"programming, software engineering",Software Engineering
E,C,E,C,C,B,B,Study Software Engineering,Software Engineering
A,A,B,C,C,A,A,Software Engineering,Software Engineering
C,B,C,C,D,A,A,I'm passionate about logic,Software Engineering
B,B,A,B,A,A,C,I enjoy tech and Version Control,Software Engineering
B,B,A,B,B,A,E,Focusing on Problem Solving and Mathematics,Software Engineering
B,B,B,C,B,A,A,Researching Software Engineering opportunities,Software Engineering
B,B,A,B,B,A,E,Frontend Developer career path,Software Engineering
B,A,A,A,C,A,C,I love apps,Software Engineering
A,C,D,D,E,A,B,"technology, critical thinking",Software Engineering
C,B,F,D,E,A,B,tech and software,Software Engineering
B,B,B,B,B,A,B,Focusing on Algorithms and Mathematics,Software Engineering
B,B,A,B,A,A,C,I enjoy software development and Problem Solving,Software Engineering
B,A,C,C,C,A,D,"Good at Algorithms, want to be a Full Stack Developer",Software Engineering
B,C,B,C,B,A,C,Focusing on Mathematics and Programming,Software Engineering
D,B,C,C,D,A,F,I love python,Software Engineering
A,A,C,B,B,B,C,I am looking for a career in Software Engineer,Software Engineering
B,B,D,A,B,A,C,programming and apps,Software Engineering
C,C,E,E,B,B,D,Full Stack Developer career path,Software Engineering
A,B,B,B,C,A,B,tech and software,Software Engineering
B,A,D,B,A,A,C,Interested in Software Engineering and coding,Software Engineering
B,B,B,B,C,A,E,coding and building apps,Software Engineering
C,B,C,B,C,A,E,"javascript, software developer",Software Engineering
E,C,E,D,F,C,F,How can I study Software Engineering?,Software Engineering
C,C,C,E,F,C,C,logic critical thinking frontend,Software Engineering
A,A,A,C,A,A,A,I want to work with programming,Software Engineering
D,A,D,A,B,A,B,"Learning more about Professional study of building software systems, application...",Software Engineering
E,B,A,C,B,A,C,I love programming,Software Engineering
B,A,A,D,A,A,A,"Good at Programming, want to be a Full Stack Developer",Software Engineering
D,B,D,D,A,A,D,Software Engineering,Software Engineering
E,C,E,D,F,C,F,Is Software Engineering a good major?,Software Engineering
D,C,D,C,F,A,F,My goal is to become a Software Engineer,Software Engineering
B,C,C,C,B,B,F,Helping with Version Control in Software Engineering,Software Engineering
C,B,C,C,D,A,A,"Learning more about Professional study of building software systems, application...",Software Engineering
B,C,A,D,C,A,A,Software Engineering,Software Engineering
B,A,A,B,A,A,C,programming and apps,Software Engineering
B,C,A,B,B,A,E,tech and software,Software Engineering
B,B,B,C,A,A,C,"Good at System Design, want to be a Frontend Developer",Software Engineering
B,A,B,C,B,A,B,System Architect career path,Software Engineering
B,A,B,B,B,A,D,javascript and python developer,Software Engineering
E,C,D,D,B,A,E,I want to work with software development,Software Engineering
C,B,A,B,A,A,D,I am looking for a career in System Architect,Software Engineering
A,B,F,B,C,A,B,software engineering mathematics software development,Software Engineering
C,B,B,B,E,B,C,"Learning more about Professional study of building software systems, application...",Software Engineering
C,C,B,B,B,A,B,"software development, logic",Software Engineering
B,A,B,B,C,A,D,programming and apps,Software Engineering
C,B,C,B,A,A,B,I am looking for a career in System Architect,Software Engineering
C,B,B,B,E,D,C,"backend, javascript",Software Engineering
C,B,C,B,A,A,B,My goal is to become a App Developer,Software Engineering
D,A,C,F,E,D,E,javascript and python developer,Software Engineering
A,C,C,C,C,A,B,tech and software,Software Engineering
D,B,B,E,B,A,A,Software Engineering,Software Engineering
D,C,F,D,C,C,B,Software Engineering seems like a good fit for me,Software Engineering
B,B,A,D,B,A,D,programming and apps,Software Engineering
A,C,B,E,C,A,C,I am looking for a career in Backend Developer,Software Engineering
B,B,F,D,C,B,C,coding and building apps,Software Engineering
B,B,B,B,B,A,B,Software Engineering seems like a good fit for me,Software Engineering
C,C,C,E,F,C,C,I love frontend,Software Engineering
C,B,A,D,C,A,D,I want to improve my skills in System Design,Software Engineering
C,B,A,C,E,A,C,Software Engineering,Software Engineering
B,A,A,B,A,A,B,coding and building apps,Software Engineering
A,C,F,C,E,D,F,Focusing on Problem Solving and Algorithms,Software Engineering
C,C,A,C,B,A,F,math algorithm critical thinking,Software Engineering
C,C,F,E,D,A,B,I want to study Software Engineering,Software Engineering
B,C,F,A,C,B,E,Study Software Engineering,Software Engineering
C,C,D,A,D,A,C,Helping with Problem Solving in Software Engineering,Software Engineering
B,C,D,D,C,A,D,"python, software developer",Software Engineering
C,C,C,C,D,A,B,Researching Software Engineering opportunities,Software Engineering
B,B,A,B,A,A,C,I love programming,Software Engineering
C,C,F,E,E,C,A,"Good at Version Control, want to be a App Developer",Software Engineering
B,C,A,C,A,A,B,I want to study Software Engineering,Software Engineering
B,A,B,A,A,A,B,I am interested in Software Engineering,Software Engineering
B,B,C,D,D,A,B,I want to study Software Engineering,Software Engineering
E,B,A,C,B,A,C,programming and apps,Software Engineering
A,A,A,C,A,A,A,programming and apps,Software Engineering
B,A,A,B,A,A,B,Focusing on Programming and Algorithms,Software Engineering
B,B,A,C,A,A,E,I am looking for a career in App Developer,Software Engineering
B,C,B,A,C,C,E,logic software development critical thinking,Software Engineering
C,A,D,D,C,A,B,I am interested in Software Engineering,Software Engineering
B,C,A,C,B,A,C,tech and software,Software Engineering
B,A,A,A,A,A,B,How can I study Software Engineering?,Software Engineering
B,A,A,A,A,A,D,Helping with Programming in Software Engineering,Software Engineering
B,C,D,D,C,A,D,Study Software Engineering,Software Engineering
C,C,A,C,A,A,D,Software Engineering seems like a good fit for me,Software Engineering
B,A,F,D,F,B,B,javascript and python developer,Software Engineering
C,A,A,D,A,A,D,Is Software Engineering a good major?,Software Engineering
D,C,E,D,D,A,E,code apps critical thinking,Software Engineering
E,B,A,C,B,A,C,tech and software,Software Engineering
E,C,E,E,B,B,C,Is Software Engineering a good major?,Software Engineering
C,C,F,E,E,C,A,I am interested in Software Engineering,Software Engineering
B,A,A,C,B,A,B,How can I study Software Engineering?,Software Engineering
C,C,F,B,A,A,B,How can I study Software Engineering?,Software Engineering
B,B,A,C,B,A,B,I want to study Software Engineering,Software Engineering
E,B,F,E,C,A,A,Is Software Engineering a good major?,Software Engineering
F,C,C,D,E,C,D,"apps, javascript",Software Engineering
C,C,D,D,E,A,C,"Good at Programming, want to be a Backend Developer",Software Engineering
C,C,C,E,B,A,B,I want to work with software development,Software Engineering
A,A,A,C,A,A,A,Helping with System Design in Software Engineering,Software Engineering
B,C,A,C,B,A,C,I want to improve my skills in System Design,Software Engineering
A,A,A,B,A,A,A,I want to improve my skills in Version Control,Software Engineering
B,C,A,B,C,C,B,programming and apps,Software Engineering
